Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
36500,40,56,4,0.4,0.56,0.04
36600,36,62,2,0.36,0.62,0.02
36700,34,62,4,0.34,0.62,0.04
36800,42,55,3,0.42,0.55,0.03
36900,33,59,8,0.33,0.59,0.08
37000,41,54,5,0.41,0.54,0.05
37100,36,59,5,0.36,0.59,0.05
37200,31,68,1,0.31,0.68,0.01
37300,33,63,4,0.33,0.63,0.04
37400,28,69,3,0.28,0.69,0.03
37500,49,47,4,0.49,0.47,0.04
37600,30,65,5,0.3,0.65,0.05
37700,49,47,4,0.49,0.47,0.04
37800,43,53,4,0.43,0.53,0.04
37900,41,53,6,0.41,0.53,0.06
38000,36,59,5,0.36,0.59,0.05
38100,30,64,6,0.3,0.64,0.06
38200,43,53,4,0.43,0.53,0.04
38300,20,76,4,0.2,0.76,0.04
38400,38,59,3,0.38,0.59,0.03
38500,35,62,3,0.35,0.62,0.03
38600,40,57,3,0.4,0.57,0.03
38700,24,75,1,0.24,0.75,0.01
38800,33,62,5,0.33,0.62,0.05
38900,33,66,1,0.33,0.66,0.01
39000,33,65,2,0.33,0.65,0.02
39100,47,50,3,0.47,0.5,0.03
39200,35,61,4,0.35,0.61,0.04
39300,43,54,3,0.43,0.54,0.03
39400,29,62,9,0.29,0.62,0.09
39500,40,57,3,0.4,0.57,0.03
39600,41,57,2,0.41,0.57,0.02
39700,44,50,6,0.44,0.5,0.06
39800,29,68,3,0.29,0.68,0.03
39900,45,50,5,0.45,0.5,0.05
40000,38,58,4,0.38,0.58,0.04
40100,41,55,4,0.41,0.55,0.04
40200,41,55,4,0.41,0.55,0.04
40300,51,46,3,0.51,0.46,0.03
40400,45,54,1,0.45,0.54,0.01
40500,60,36,4,0.6,0.36,0.04
40600,49,45,6,0.49,0.45,0.06
40700,42,52,6,0.42,0.52,0.06
40800,30,68,2,0.3,0.68,0.02
40900,35,62,3,0.35,0.62,0.03
41000,31,63,6,0.31,0.63,0.06
41100,44,54,2,0.44,0.54,0.02
41200,28,68,4,0.28,0.68,0.04
41300,42,56,2,0.42,0.56,0.02
41400,37,59,4,0.37,0.59,0.04
41500,38,56,6,0.38,0.56,0.06
41600,30,65,5,0.3,0.65,0.05
41700,27,67,6,0.27,0.67,0.06
41800,28,67,5,0.28,0.67,0.05
41900,29,67,4,0.29,0.67,0.04
42000,24,73,3,0.24,0.73,0.03
42100,32,66,2,0.32,0.66,0.02
42200,36,61,3,0.36,0.61,0.03
42300,35,59,6,0.35,0.59,0.06
42400,35,62,3,0.35,0.62,0.03
42500,39,55,6,0.39,0.55,0.06
42600,28,69,3,0.28,0.69,0.03
42700,47,46,7,0.47,0.46,0.07
42800,36,63,1,0.36,0.63,0.01
42900,38,56,6,0.38,0.56,0.06
43000,40,58,2,0.4,0.58,0.02
43100,31,63,6,0.31,0.63,0.06
43200,40,57,3,0.4,0.57,0.03
43300,22,76,2,0.22,0.76,0.02
43400,45,55,0,0.45,0.55,0.0
43500,30,65,5,0.3,0.65,0.05
43600,29,68,3,0.29,0.68,0.03
43700,28,70,2,0.28,0.7,0.02
43800,34,61,5,0.34,0.61,0.05
43900,43,54,3,0.43,0.54,0.03
44000,44,48,8,0.44,0.48,0.08
44100,37,58,5,0.37,0.58,0.05
44200,42,54,4,0.42,0.54,0.04
44300,44,54,2,0.44,0.54,0.02
44400,44,49,7,0.44,0.49,0.07
44500,47,50,3,0.47,0.5,0.03
44600,39,52,9,0.39,0.52,0.09
44700,45,51,4,0.45,0.51,0.04
44800,38,59,3,0.38,0.59,0.03
44900,51,39,10,0.51,0.39,0.1
45000,46,52,2,0.46,0.52,0.02
45100,34,65,1,0.34,0.65,0.01
45200,34,62,4,0.34,0.62,0.04
45300,38,59,3,0.38,0.59,0.03
45400,36,63,1,0.36,0.63,0.01
45500,46,51,3,0.46,0.51,0.03
45600,49,48,3,0.49,0.48,0.03
45700,40,54,6,0.4,0.54,0.06
45800,39,56,5,0.39,0.56,0.05
45900,38,61,1,0.38,0.61,0.01
46000,30,65,5,0.3,0.65,0.05
46100,41,58,1,0.41,0.58,0.01
46200,27,71,2,0.27,0.71,0.02
46300,38,61,1,0.38,0.61,0.01
46400,40,58,2,0.4,0.58,0.02
46500,47,51,2,0.47,0.51,0.02
46600,43,55,2,0.43,0.55,0.02
46700,29,67,4,0.29,0.67,0.04
46800,37,59,4,0.37,0.59,0.04
46900,36,61,3,0.36,0.61,0.03
47000,34,62,4,0.34,0.62,0.04
47100,47,51,2,0.47,0.51,0.02
47200,48,49,3,0.48,0.49,0.03
47300,46,51,3,0.46,0.51,0.03
47400,44,54,2,0.44,0.54,0.02
47500,36,57,7,0.36,0.57,0.07
47600,52,46,2,0.52,0.46,0.02
47700,47,49,4,0.47,0.49,0.04
47800,29,66,5,0.29,0.66,0.05
47900,50,46,4,0.5,0.46,0.04
48000,49,51,0,0.49,0.51,0.0
48100,35,61,4,0.35,0.61,0.04
48200,34,63,3,0.34,0.63,0.03
48300,27,68,5,0.27,0.68,0.05
48400,37,60,3,0.37,0.6,0.03
48500,50,44,6,0.5,0.44,0.06
48600,40,55,5,0.4,0.55,0.05
48700,29,65,6,0.29,0.65,0.06
48800,43,52,5,0.43,0.52,0.05
48900,46,51,3,0.46,0.51,0.03
49000,49,45,6,0.49,0.45,0.06
49100,43,55,2,0.43,0.55,0.02
49200,40,55,5,0.4,0.55,0.05
49300,42,55,3,0.42,0.55,0.03
49400,50,48,2,0.5,0.48,0.02
49500,41,55,4,0.41,0.55,0.04
49600,40,58,2,0.4,0.58,0.02
49700,42,55,3,0.42,0.55,0.03
49800,43,54,3,0.43,0.54,0.03
49900,53,45,2,0.53,0.45,0.02
50000,54,41,5,0.54,0.41,0.05
50100,48,47,5,0.48,0.47,0.05
50200,45,51,4,0.45,0.51,0.04
50300,40,58,2,0.4,0.58,0.02
50400,48,44,8,0.48,0.44,0.08
50500,52,45,3,0.52,0.45,0.03
50600,43,52,5,0.43,0.52,0.05
50700,54,44,2,0.54,0.44,0.02
50800,44,54,2,0.44,0.54,0.02
50900,50,46,4,0.5,0.46,0.04
51000,43,51,6,0.43,0.51,0.06
51100,40,58,2,0.4,0.58,0.02
51200,35,61,4,0.35,0.61,0.04
51300,40,55,5,0.4,0.55,0.05
51400,49,49,2,0.49,0.49,0.02
51500,56,40,4,0.56,0.4,0.04
51600,64,34,2,0.64,0.34,0.02
51700,50,46,4,0.5,0.46,0.04
51800,41,54,5,0.41,0.54,0.05
51900,34,59,7,0.34,0.59,0.07
52000,39,58,3,0.39,0.58,0.03
52100,36,59,5,0.36,0.59,0.05
52200,23,69,8,0.23,0.69,0.08
52300,35,63,2,0.35,0.63,0.02
52400,39,58,3,0.39,0.58,0.03
52500,36,57,7,0.36,0.57,0.07
52600,37,58,5,0.37,0.58,0.05
52700,42,56,2,0.42,0.56,0.02
52800,41,53,6,0.41,0.53,0.06
52900,44,52,4,0.44,0.52,0.04
53000,39,56,5,0.39,0.56,0.05
53100,31,65,4,0.31,0.65,0.04
53200,45,48,7,0.45,0.48,0.07
