Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
39400,17,80,3,0.17,0.8,0.03
39500,23,73,4,0.23,0.73,0.04
39600,18,76,6,0.18,0.76,0.06
39700,15,80,5,0.15,0.8,0.05
39800,18,78,4,0.18,0.78,0.04
39900,22,75,3,0.22,0.75,0.03
40000,17,78,5,0.17,0.78,0.05
40100,22,77,1,0.22,0.77,0.01
40200,16,79,5,0.16,0.79,0.05
40300,21,73,6,0.21,0.73,0.06
40400,16,77,7,0.16,0.77,0.07
40500,18,79,3,0.18,0.79,0.03
40600,28,69,3,0.28,0.69,0.03
40700,22,74,4,0.22,0.74,0.04
40800,21,76,3,0.21,0.76,0.03
40900,15,82,3,0.15,0.82,0.03
41000,19,74,7,0.19,0.74,0.07
41100,15,82,3,0.15,0.82,0.03
41200,20,78,2,0.2,0.78,0.02
41300,19,75,6,0.19,0.75,0.06
41400,21,76,3,0.21,0.76,0.03
41500,12,86,2,0.12,0.86,0.02
41600,20,76,4,0.2,0.76,0.04
41700,21,74,5,0.21,0.74,0.05
41800,18,79,3,0.18,0.79,0.03
41900,13,81,6,0.13,0.81,0.06
42000,24,74,2,0.24,0.74,0.02
42100,15,81,4,0.15,0.81,0.04
42200,21,76,3,0.21,0.76,0.03
42300,18,81,1,0.18,0.81,0.01
42400,22,76,2,0.22,0.76,0.02
42500,20,76,4,0.2,0.76,0.04
42600,21,74,5,0.21,0.74,0.05
42700,18,80,2,0.18,0.8,0.02
42800,23,76,1,0.23,0.76,0.01
42900,25,71,4,0.25,0.71,0.04
43000,21,77,2,0.21,0.77,0.02
43100,15,78,7,0.15,0.78,0.07
43200,17,80,3,0.17,0.8,0.03
43300,19,79,2,0.19,0.79,0.02
43400,21,72,7,0.21,0.72,0.07
43500,18,78,4,0.18,0.78,0.04
43600,18,81,1,0.18,0.81,0.01
43700,18,79,3,0.18,0.79,0.03
43800,23,75,2,0.23,0.75,0.02
43900,19,77,4,0.19,0.77,0.04
44000,18,80,2,0.18,0.8,0.02
44100,20,77,3,0.2,0.77,0.03
44200,24,72,4,0.24,0.72,0.04
44300,20,78,2,0.2,0.78,0.02
44400,16,81,3,0.16,0.81,0.03
44500,28,68,4,0.28,0.68,0.04
44600,19,77,4,0.19,0.77,0.04
44700,29,68,3,0.29,0.68,0.03
44800,23,75,2,0.23,0.75,0.02
44900,18,78,4,0.18,0.78,0.04
45000,24,72,4,0.24,0.72,0.04
45100,22,76,2,0.22,0.76,0.02
45200,21,78,1,0.21,0.78,0.01
45300,20,76,4,0.2,0.76,0.04
45400,14,85,1,0.14,0.85,0.01
45500,18,81,1,0.18,0.81,0.01
45600,15,81,4,0.15,0.81,0.04
